sid	id	Trait	uniqTrait	N	Ncontrol	Ncase	sex	source	uniqTrait_	sTrait	PMID	uniqValue	pair	pair_m_f	TYPE	trait_name_clean
1217m	1217	Alcohol consumption (dichotomous) (atlas)	Alcohol intake	26991	NA	NA	male	atlas	Alcohol intake	Alcohol consumption (dichotomous) (atlas) [male]	27911795	Alcohol consumption (dichotomous) (atlas) 27911795	1217m 1218f	1217m 1218f	Lifestyle	Alcohol consumption (dichotomous)
1218f	1218	Alcohol consumption (dichotomous) (atlas)	Alcohol intake	47720	NA	NA	female	atlas	Alcohol intake	Alcohol consumption (dichotomous) (atlas) [female]	27911795	Alcohol consumption (dichotomous) (atlas) 27911795	1217m 1218f	1217m 1218f	Lifestyle	Alcohol consumption (dichotomous)
126m	126	Height  (atlas)	Height	60588	NA	NA	male	atlas	Height	Height  (atlas) [male]	23754948	Height  (atlas) 23754948	126m 127f	126m 127f	Antropometric	Height
127f	127	Height  (atlas)	Height	73072	NA	NA	female	atlas	Height	Height  (atlas) [female]	23754948	Height  (atlas) 23754948	126m 127f	126m 127f	Antropometric	Height
136m	136	Weight  (atlas)	Weight	60016	NA	NA	male	atlas	Weight	Weight  (atlas) [male]	23754948	Weight  (atlas) 23754948	136m 137f	136m 137f	Antropometric	Weight
137f	137	Weight  (atlas)	Weight	72378	NA	NA	female	atlas	Weight	Weight  (atlas) [female]	23754948	Weight  (atlas) 23754948	136m 137f	136m 137f	Antropometric	Weight
144m	144	Body Mass Index  (atlas)	Body Mass Index	104666	NA	NA	male	atlas	Body Mass Index	Body Mass Index  (atlas) [male]	25673413	Body Mass Index  (atlas) 25673413	144m 145f	144m 145f	Antropometric	Body Mass Index
145f	145	Body Mass Index  (atlas)	Body Mass Index	132115	NA	NA	female	atlas	Body Mass Index	Body Mass Index  (atlas) [female]	25673413	Body Mass Index  (atlas) 25673413	144m 145f	144m 145f	Antropometric	Body Mass Index
151m	151	Waist-hip ratio (> 50 yrs, adjusted for BMI) (atlas)	Waist-hip ratio	74324	NA	NA	male	atlas	Waist-hip ratio	Waist-hip ratio (> 50 yrs, adjusted for BMI) (atlas) [male]	26426971	Waist-hip ratio (> 50 yrs, adjusted for BMI) (atlas) 26426971	151m 153f	151m 153f	Antropometric	Waist-hip ratio (> 50 yrs, adjBMI)
152m	152	Waist-hip ratio (<= 50 yrs, adjusted for BMI) (atlas)	Waist-hip ratio	21989	NA	NA	male	atlas	Waist-hip ratio	Waist-hip ratio (<= 50 yrs, adjusted for BMI) (atlas) [male]	26426971	Waist-hip ratio (<= 50 yrs, adjusted for BMI) (atlas) 26426971	152m 154f	152m 154f	Antropometric	Waist-hip ratio (<= 50 yrs, adjBMI)
153f	153	Waist-hip ratio (> 50 yrs, adjusted for BMI) (atlas)	Waist-hip ratio	88625	NA	NA	female	atlas	Waist-hip ratio	Waist-hip ratio (> 50 yrs, adjusted for BMI) (atlas) [female]	26426971	Waist-hip ratio (> 50 yrs, adjusted for BMI) (atlas) 26426971	151m 153f	151m 153f	Antropometric	Waist-hip ratio (> 50 yrs, adjBMI)
154f	154	Waist-hip ratio (<= 50 yrs, adjusted for BMI) (atlas)	Waist-hip ratio	41386	NA	NA	female	atlas	Waist-hip ratio	Waist-hip ratio (<= 50 yrs, adjusted for BMI) (atlas) [female]	26426971	Waist-hip ratio (<= 50 yrs, adjusted for BMI) (atlas) 26426971	152m 154f	152m 154f	Antropometric	Waist-hip ratio (<= 50 yrs, adjBMI)
157m	157	Hip circumference  (atlas)	Hip circumference	94790	NA	NA	male	atlas	Hip circumference	Hip circumference  (atlas) [male]	25673412	Hip circumference  (atlas) 25673412	157m 159f	157m 159f	Antropometric	Hip circumference
159f	159	Hip circumference  (atlas)	Hip circumference	118528	NA	NA	female	atlas	Hip circumference	Hip circumference  (atlas) [female]	25673412	Hip circumference  (atlas) 25673412	157m 159f	157m 159f	Antropometric	Hip circumference
163m	163	Hip circumference (adjusted for BMI) (atlas)	Hip circumference	93965	NA	NA	male	atlas	Hip circumference	Hip circumference (adjusted for BMI) (atlas) [male]	25673412	Hip circumference (adjusted for BMI) (atlas) 25673412	163m 165f	163m 165f	Antropometric	Hip circumference (adjBMI)
165f	165	Hip circumference (adjusted for BMI) (atlas)	Hip circumference	117340	NA	NA	female	atlas	Hip circumference	Hip circumference (adjusted for BMI) (atlas) [female]	25673412	Hip circumference (adjusted for BMI) (atlas) 25673412	163m 165f	163m 165f	Antropometric	Hip circumference (adjBMI)
169m	169	Waist circumference  (atlas)	Waist circumference	104406	NA	NA	male	atlas	Waist circumference	Waist circumference  (atlas) [male]	25673412	Waist circumference  (atlas) 25673412	169m 171f	169m 171f	Antropometric	Waist circumference
171f	171	Waist circumference  (atlas)	Waist circumference	127998	NA	NA	female	atlas	Waist circumference	Waist circumference  (atlas) [female]	25673412	Waist circumference  (atlas) 25673412	169m 171f	169m 171f	Antropometric	Waist circumference
175m	175	Waist circumference (adjusted for BMI) (atlas)	Waist circumference	104079	NA	NA	male	atlas	Waist circumference	Waist circumference (adjusted for BMI) (atlas) [male]	25673412	Waist circumference (adjusted for BMI) (atlas) 25673412	175m 177f	175m 177f	Antropometric	Waist circumference (adjBMI)
177f	177	Waist circumference (adjusted for BMI) (atlas)	Waist circumference	127470	NA	NA	female	atlas	Waist circumference	Waist circumference (adjusted for BMI) (atlas) [female]	25673412	Waist circumference (adjusted for BMI) (atlas) 25673412	175m 177f	175m 177f	Antropometric	Waist circumference (adjBMI)
181m	181	Waist-hip ratio  (atlas)	Waist-hip ratio	94434	NA	NA	male	atlas	Waist-hip ratio	Waist-hip ratio  (atlas) [male]	25673412	Waist-hip ratio  (atlas) 25673412	181m 183f	181m 183f	Antropometric	Waist-hip ratio
183f	183	Waist-hip ratio  (atlas)	Waist-hip ratio	118004	NA	NA	female	atlas	Waist-hip ratio	Waist-hip ratio  (atlas) [female]	25673412	Waist-hip ratio  (atlas) 25673412	181m 183f	181m 183f	Antropometric	Waist-hip ratio
187m	187	Waist-hip ratio (adjusted for BMI) (atlas)	Waist-hip ratio	93480	NA	NA	male	atlas	Waist-hip ratio	Waist-hip ratio (adjusted for BMI) (atlas) [male]	25673412	Waist-hip ratio (adjusted for BMI) (atlas) 25673412	187m 189f	187m 189f	Antropometric	Waist-hip ratio (adjBMI)
189f	189	Waist-hip ratio (adjusted for BMI) (atlas)	Waist-hip ratio	116742	NA	NA	female	atlas	Waist-hip ratio	Waist-hip ratio (adjusted for BMI) (atlas) [female]	25673412	Waist-hip ratio (adjusted for BMI) (atlas) 25673412	187m 189f	187m 189f	Antropometric	Waist-hip ratio (adjBMI)
3958m	3958	Antisocial behavior  (atlas)	Antisocial behavior	8535	NA	NA	male	atlas	Antisocial behavior	Antisocial behavior  (atlas) [male]	28979981	Antisocial behavior  (atlas) 28979981	3958m 3959f	3958m 3959f	Behavioural	Antisocial behavior
3959f	3959	Antisocial behavior  (atlas)	Antisocial behavior	7772	NA	NA	female	atlas	Antisocial behavior	Antisocial behavior  (atlas) [female]	28979981	Antisocial behavior  (atlas) 28979981	3958m 3959f	3958m 3959f	Behavioural	Antisocial behavior
4212m	4212	Glycine level  (atlas)	Glycine	19112	NA	NA	male	atlas	Glycine	Glycine level  (atlas) [male]	31070104	Glycine level  (atlas) 31070104	4212m 4213f	4212m 4213f	Metabolic	Glycine level
4213f	4213	Glycine level  (atlas)	Glycine	11006	NA	NA	female	atlas	Glycine	Glycine level  (atlas) [female]	31070104	Glycine level  (atlas) 31070104	4212m 4213f	4212m 4213f	Metabolic	Glycine level
4370m	4370	Thyroid-stimulating hormone  (atlas)	Thyroid stimulating hormone	24618	NA	NA	male	atlas	Thyroid stimulating hormone	Thyroid-stimulating hormone  (atlas) [male]	30367059	Thyroid-stimulating hormone  (atlas) 30367059	4370m 4371f	4370m 4371f	Metabolic	Thyroid-stimulating hormone
4371f	4371	Thyroid-stimulating hormone  (atlas)	Thyroid stimulating hormone	30236	NA	NA	female	atlas	Thyroid stimulating hormone	Thyroid-stimulating hormone  (atlas) [female]	30367059	Thyroid-stimulating hormone  (atlas) 30367059	4370m 4371f	4370m 4371f	Metabolic	Thyroid-stimulating hormone
4373m	4373	Free thyroxine (FT4) (atlas)	Free thyroxine	22455	NA	NA	male	atlas	Free thyroxine	Free thyroxine (FT4) (atlas) [male]	30367059	Free thyroxine (FT4) (atlas) 30367059	4373m 4374f	4373m 4374f	Metabolic	Free thyroxine (FT4)
4374f	4374	Free thyroxine (FT4) (atlas)	Free thyroxine	27380	NA	NA	female	atlas	Free thyroxine	Free thyroxine (FT4) (atlas) [female]	30367059	Free thyroxine (FT4) (atlas) 30367059	4373m 4374f	4373m 4374f	Metabolic	Free thyroxine (FT4)
48f	48	Age at first birth  (atlas)	Age at first birth	225230	NA	NA	female	atlas	Age at first birth	Age at first birth  (atlas) [female]	27798627	Age at first birth  (atlas) 27798627	48f 49m	49m 48f	Fertility	Age at first birth
49m	49	Age at first birth  (atlas)	Age at first birth	48408	NA	NA	male	atlas	Age at first birth	Age at first birth  (atlas) [male]	27798627	Age at first birth  (atlas) 27798627	48f 49m	49m 48f	Fertility	Age at first birth
51f	51	Number of children ever born  (atlas)	Number of children ever born	225230	NA	NA	female	atlas	Number of children ever born	Number of children ever born  (atlas) [female]	27798627	Number of children ever born  (atlas) 27798627	51f 52m	52m 51f	Fertility	Number of children ever born
52m	52	Number of children ever born  (atlas)	Number of children ever born	103909	NA	NA	male	atlas	Number of children ever born	Number of children ever born  (atlas) [male]	27798627	Number of children ever born  (atlas) 27798627	51f 52m	52m 51f	Fertility	Number of children ever born
96f	96	Height SDS (at age 10) (atlas)	Height SDS	6974	NA	NA	female	atlas	Height SDS	Height SDS (at age 10) (atlas) [female]	23449627	Height SDS (atlas) 23449627	96f 97m	97m 96f	Antropometric	Height SDS
97m	97	Height SDS (at age 12) (atlas)	Height SDS	6986	NA	NA	male	atlas	Height SDS	Height SDS (at age 12) (atlas) [male]	23449627	Height SDS (atlas) 23449627	96f 97m	97m 96f	Antropometric	Height SDS
99f	99	Pubertal growth  (atlas)	Pubertal growth	5756	NA	NA	female	atlas	Pubertal growth	Pubertal growth  (atlas) [female]	23449627	Pubertal growth  (atlas) 23449627	100m 99f	100m 99f	Developmental	Pubertal growth
ADr1uf	ADr1u	Alzheimer's Disease (requested)	Alzheimer's Disease	352074	327486	24588	female	requested	Alzheimer's Disease	Alzheimer's Disease (requested) [female]	NA	Alzheimer's Disease (requested) NA	ADr1uf ADr1um	ADr1um ADr1uf	Disease	Alzheimer's Disease
ADr1um	ADr1u	Alzheimer's Disease (requested)	Alzheimer's Disease	286959	268018	18941	male	requested	Alzheimer's Disease	Alzheimer's Disease (requested) [male]	NA	Alzheimer's Disease (requested) NA	ADr1uf ADr1um	ADr1um ADr1uf	Disease	Alzheimer's Disease
a13f	a13	Cardiovascular disease (requested)	Cardiovascular disease	333496	310499	22997	female	requested	Cardiovascular disease	Cardiovascular disease (requested) [female]	36474045	Cardiovascular disease (requested) 36474045	a13f a13m	a13m a13f	Disease	Cardiovascular disease
a13m	a13	Cardiovascular disease (requested)	Cardiovascular disease	294536	240453	54083	male	requested	Cardiovascular disease	Cardiovascular disease (requested) [male]	36474045	Cardiovascular disease (requested) 36474045	a13f a13m	a13m a13f	Disease	Cardiovascular disease
a1f	a1	Insomnia (requested)	Insomnia	208958	141982	66976	female	requested	Insomnia	Insomnia (requested) [female]	35835914	Insomnia (requested) 35835914	a1f a1m	a1m a1f	Condition	Insomnia
a1m	a1	Insomnia (requested)	Insomnia	178030	135458	42572	male	requested	Insomnia	Insomnia (requested) [male]	35835914	Insomnia (requested) 35835914	a1f a1m	a1m a1f	Condition	Insomnia
a21f	a21	Grip strength measurement/ Muscle weakness (requested)	Grip strength measurement/ Muscle weakness	135468	100879	34589	female	requested	Grip strength measurement/ Muscle weakness	Grip strength measurement/ Muscle weakness (requested) [female]	33510174	Grip strength measurement/ Muscle weakness (requested) 33510174	a21f a21m	a21m a21f	Trait	Grip strength measurement/ Muscle weakness
a21m	a21	Grip strength measurement/ Muscle weakness (requested)	Grip strength measurement/ Muscle weakness	121055	107048	14007	male	requested	Grip strength measurement/ Muscle weakness	Grip strength measurement/ Muscle weakness (requested) [male]	33510174	Grip strength measurement/ Muscle weakness (requested) 33510174	a21f a21m	a21m a21f	Trait	Grip strength measurement/ Muscle weakness
a22f	a22	Snoring (requested)	Snoring	218346	156554	61792	female	requested	Snoring	Snoring (requested) [female]	32060260	Snoring (requested) 32060260	a22f a22m	a22m a22f	Condition	Snoring
a22m	a22	Snoring (requested)	Snoring	189971	99165	90806	male	requested	Snoring	Snoring (requested) [male]	32060260	Snoring (requested) 32060260	a22f a22m	a22m a22f	Condition	Snoring
a27f	a27	Fasting glucose (requested)	Fasting glucose	73089	NA	NA	female	requested	Fasting glucose	Fasting glucose (requested) [female]	33402679	Fasting glucose (requested) 33402679	a27f a27m	a27m a27f	Metabolic	Fasting glucose
a27m	a27	Fasting glucose (requested)	Fasting glucose	67506	NA	NA	male	requested	Fasting glucose	Fasting glucose (requested) [male]	33402679	Fasting glucose (requested) 33402679	a27f a27m	a27m a27f	Metabolic	Fasting glucose
a28f	a28	Fasting insulin (requested)	Fasting insulin	50404	NA	NA	female	requested	Fasting insulin	Fasting insulin (requested) [female]	33402679	Fasting insulin (requested) 33402679	a28f a28m	a28m a28f	Metabolic	Fasting insulin
a28m	a28	Fasting insulin (requested)	Fasting insulin	47806	NA	NA	male	requested	Fasting insulin	Fasting insulin (requested) [male]	33402679	Fasting insulin (requested) 33402679	a28f a28m	a28m a28f	Metabolic	Fasting insulin
a29f	a29	Multisite chronic pain (requested)	Multisite chronic pain	206093	NA	NA	female	requested	Multisite chronic pain	Multisite chronic pain (requested) [female]	33830993	Multisite chronic pain (requested) 33830993	a29f a29m	a29m a29f	Condition	Multisite chronic pain
a29m	a29	Multisite chronic pain (requested)	Multisite chronic pain	178556	NA	NA	male	requested	Multisite chronic pain	Multisite chronic pain (requested) [male]	33830993	Multisite chronic pain (requested) 33830993	a29f a29m	a29m a29f	Condition	Multisite chronic pain
a30f	a30	Educational attainment (requested)	Educational attainment	122427	NA	NA	female	requested	Educational attainment	Educational attainment (requested) [female]	27225129	Educational attainment (requested) 27225129	a30f a30m	a30m a30f	Behavioural	Educational attainment
a30m	a30	Educational attainment (requested)	Educational attainment	95140	NA	NA	male	requested	Educational attainment	Educational attainment (requested) [male]	27225129	Educational attainment (requested) 27225129	a30f a30m	a30m a30f	Behavioural	Educational attainment
a3f	a3	Broad antisocial behaviour (requested)	Broad antisocial behaviour	26895	NA	NA	female	requested	Broad antisocial behaviour	Broad antisocial behaviour (requested) [female]	36284158	Broad antisocial behaviour (requested) 36284158	a3f a3m	a3m a3f	Behavioural	Broad antisocial behaviour
a3m	a3	Broad antisocial behaviour (requested)	Broad antisocial behaviour	22322	NA	NA	male	requested	Broad antisocial behaviour	Broad antisocial behaviour (requested) [male]	36284158	Broad antisocial behaviour (requested) 36284158	a3f a3m	a3m a3f	Behavioural	Broad antisocial behaviour
a7f	a7	Parkinson's disease (requested)	Parkinson's disease	98609	90662	7947	female	requested	Parkinson's disease	Parkinson's disease (requested) [female]	33901317	Parkinson's disease (requested) 33901317	a7f a7m	a7m a7f	Disease	Parkinson's disease
a7m	a7	Parkinson's disease (requested)	Parkinson's disease	102680	89660	13020	male	requested	Parkinson's disease	Parkinson's disease (requested) [male]	33901317	Parkinson's disease (requested) 33901317	a7f a7m	a7m a7f	Disease	Parkinson's disease
a8f	a8	Type 2 diabetes (requested)	Type 2 diabetes	464389	434336	30053	female	requested	Type 2 diabetes	Type 2 diabetes (requested) [female]	30297969	Type 2 diabetes (requested) 30297969	a8f a8m	a8m a8f	Disease	Type 2 diabetes
a8m	a8	Type 2 diabetes (requested)	Type 2 diabetes	425613	383767	41846	male	requested	Type 2 diabetes	Type 2 diabetes (requested) [male]	30297969	Type 2 diabetes (requested) 30297969	a8f a8m	a8m a8f	Disease	Type 2 diabetes
a9f	a9	ADHD (requested)	ADHD	21191	16246	4945	female	requested	ADHD	ADHD (requested) [female]	29325848	ADHD (requested) 29325848	a9f a9m	a9m a9f	Disease	ADHD
a9m	a9	ADHD (requested)	ADHD	32102	17948	14154	male	requested	ADHD	ADHD (requested) [male]	29325848	ADHD (requested) 29325848	a9f a9m	a9m a9f	Disease	ADHD
bm1f	GCST90431455	Left PoI GM thikness (requested)	Left PoI GM thikness	16057	NA	NA	female	requested	Left PoI GM thikness	Left PoI GM thikness (requested) [female]	NA	Left PoI GM thikness (requested) NA	bm1f bm1m	bm1m bm1f	Anatomical	Left PoI GM thikness
bm1m	GCST90431815	Left PoI GM thikness (requested)	Left PoI GM thikness	14341	NA	NA	male	requested	Left PoI GM thikness	Left PoI GM thikness (requested) [male]	NA	Left PoI GM thikness (requested) NA	bm1f bm1m	bm1m bm1f	Anatomical	Left PoI GM thikness
bm2f	GCST90429884	Left 5m area (requested)	Left 5m area	15838	NA	NA	female	requested	Left 5m area	Left 5m area (requested) [female]	NA	Left 5m area (requested) NA	bm2f bm2m	bm2m bm2f	Anatomical	Left 5m area
bm2m	GCST90430244	Left 5m area (requested)	Left 5m area	14183	NA	NA	male	requested	Left 5m area	Left 5m area (requested) [male]	NA	Left 5m area (requested) NA	bm2f bm2m	bm2m bm2f	Anatomical	Left 5m area
bm3f	GCST90430588	Left LO1 GMV (requested)	Left LO1 GMV	15771	NA	NA	female	requested	Left LO1 GMV	Left LO1 GMV (requested) [female]	NA	Left LO1 GMV (requested) NA	bm3f bm3m	bm3m bm3f	Anatomical	Left LO1 GMV
bm3m	GCST90430948	Left LO1 GMV (requested)	Left LO1 GMV	14087	NA	NA	male	requested	Left LO1 GMV	Left LO1 GMV (requested) [male]	NA	Left LO1 GMV (requested) NA	bm3f bm3m	bm3m bm3f	Anatomical	Left LO1 GMV
bm4f	GCST90429850	Left MST area (requested)	Left MST area	15838	NA	NA	female	requested	Left MST area	Left MST area (requested) [female]	NA	Left MST area (requested) NA	bm4f bm4m	bm4m bm4f	Anatomical	Left MST area
bm4m	GCST90430210	Left MST area (requested)	Left MST area	14183	NA	NA	male	requested	Left MST area	Left MST area (requested) [male]	NA	Left MST area (requested) NA	bm4f bm4m	bm4m bm4f	Anatomical	Left MST area
bm5f	GCST90432012	Left Caudate (requested)	Left Caudate	15831	NA	NA	female	requested	Left Caudate	Left Caudate (requested) [female]	NA	Left Caudate (requested) NA	bm5f bm5m	bm5m bm5f	Anatomical	Left Caudate
bm5m	GCST90432035	Left Caudate (requested)	Left Caudate	14071	NA	NA	male	requested	Left Caudate	Left Caudate (requested) [male]	NA	Left Caudate (requested) NA	bm5f bm5m	bm5m bm5f	Anatomical	Left Caudate
bm6f	GCST90432013	Left Putamen (requested)	Left Putamen	15831	NA	NA	female	requested	Left Putamen	Left Putamen (requested) [female]	NA	Left Putamen (requested) NA	bm6f bm6m	bm6m bm6f	Anatomical	Left Putamen
bm6m	GCST90432036	Left Putamen (requested)	Left Putamen	14071	NA	NA	male	requested	Left Putamen	Left Putamen (requested) [male]	NA	Left Putamen (requested) NA	bm6f bm6m	bm6m bm6f	Anatomical	Left Putamen
bm7f	GCST90432022	Right Putamen (requested)	Right Putamen	15831	NA	NA	female	requested	Right Putamen	Right Putamen (requested) [female]	NA	Right Putamen (requested) NA	bm7f bm7m	bm7m bm7f	Anatomical	Right Putamen
bm7m	GCST90432045	Right Putamen (requested)	Right Putamen	14071	NA	NA	male	requested	Right Putamen	Right Putamen (requested) [male]	NA	Right Putamen (requested) NA	bm7f bm7m	bm7m bm7f	Anatomical	Right Putamen
bm8f	GCST90432029	CC Central (requested)	CC Central	15831	NA	NA	female	requested	CC Central	CC Central (requested) [female]	NA	CC Central (requested) NA	bm8f bm8m	bm8m bm8f	Anatomical	CC Central
bm8m	GCST90432052	CC Central (requested)	CC Central	14071	NA	NA	male	requested	CC Central	CC Central (requested) [male]	NA	CC Central (requested) NA	bm8f bm8m	bm8m bm8f	Anatomical	CC Central
c1f	c1	Hematologic Malignancies (requested)	Hematologic Malignancies	37800	36780	1020	female	requested	Hematologic Malignancies	Hematologic Malignancies (requested) [female]	36635305	Hematologic Malignancies (requested) 36635305	c1f c1m	c1m c1f	Disease	Hematologic Malignancies
c1m	c2	Hematologic Malignancies (requested)	Hematologic Malignancies	32276	30710	1566	male	requested	Hematologic Malignancies	Hematologic Malignancies (requested) [male]	36635305	Hematologic Malignancies (requested) 36635305	c1f c1m	c1m c1f	Disease	Hematologic Malignancies
c2f	c2	Lung Cancer (requested)	Lung Cancer	38009	36780	1229	female	requested	Lung Cancer	Lung Cancer (requested) [female]	36635305	Lung Cancer (requested) 36635305	c2f c2m	c2m c2f	Disease	Lung Cancer
c2m	c2	Lung Cancer (requested)	Lung Cancer	32463	30710	1753	male	requested	Lung Cancer	Lung Cancer (requested) [male]	36635305	Lung Cancer (requested) 36635305	c2f c2m	c2m c2f	Disease	Lung Cancer
c3f	c3	Colorectal Cancer (requested)	Colorectal Cancer	37719	36780	939	female	requested	Colorectal Cancer	Colorectal Cancer (requested) [female]	36635305	Colorectal Cancer (requested) 36635305	c3f c3m	c3m c3f	Disease	Colorectal Cancer
c3m	c3	Colorectal Cancer (requested)	Colorectal Cancer	31836	30710	1126	male	requested	Colorectal Cancer	Colorectal Cancer (requested) [male]	36635305	Colorectal Cancer (requested) 36635305	c3f c3m	c3m c3f	Disease	Colorectal Cancer
l1f	l1	HDL (requested)	HDL	617211	NA	NA	female	requested	HDL	HDL (requested) [female]	36575460	HDL (requested) 36575460	l1f l1m	l1m l1f	Metabolic	HDL
l1m	l1	HDL (requested)	HDL	723018	NA	NA	male	requested	HDL	HDL (requested) [male]	36575460	HDL (requested) 36575460	l1f l1m	l1m l1f	Metabolic	HDL
l2f	l2	LDL (requested)	LDL	617211	NA	NA	female	requested	LDL	LDL (requested) [female]	36575460	LDL (requested) 36575460	l2f l2m	l2m l2f	Metabolic	LDL
l2m	l2	LDL (requested)	LDL	723018	NA	NA	male	requested	LDL	LDL (requested) [male]	36575460	LDL (requested) 36575460	l2f l2m	l2m l2f	Metabolic	LDL
l3f	l3	TC (requested)	TC	617211	NA	NA	female	requested	TC	TC (requested) [female]	36575460	TC (requested) 36575460	l3f l3m	l3m l3f	Metabolic	TC
l3m	l3	TC (requested)	TC	723018	NA	NA	male	requested	TC	TC (requested) [male]	36575460	TC (requested) 36575460	l3f l3m	l3m l3f	Metabolic	TC
l4f	l4	logTG (requested)	logTG	617211	NA	NA	female	requested	logTG	logTG (requested) [female]	36575460	logTG (requested) 36575460	l4f l4m	l4m l4f	Metabolic	logTG
l4m	l4	logTG (requested)	logTG	723018	NA	NA	male	requested	logTG	logTG (requested) [male]	36575460	logTG (requested) 36575460	l4f l4m	l4m l4f	Metabolic	logTG
l5f	l5	nonHDL (requested)	nonHDL	617211	NA	NA	female	requested	nonHDL	nonHDL (requested) [female]	36575460	nonHDL (requested) 36575460	l5f l5m	l5m l5f	Metabolic	nonHDL
l5m	l5	nonHDL (requested)	nonHDL	723018	NA	NA	male	requested	nonHDL	nonHDL (requested) [male]	36575460	nonHDL (requested) 36575460	l5f l5m	l5m l5f	Metabolic	nonHDL
r10f	r10	Major Depression (requested)	Major Depression	41937	19723	22214	female	requested	Major Depression	Major Depression (requested) [female]	31206164	Major Depression (requested) 31206164	r10f r10m	r10m r10f	Disease	Major Depression
r10m	r10	Major Depression (requested)	Major Depression	28993	18799	10194	male	requested	Major Depression	Major Depression (requested) [male]	31206164	Major Depression (requested) 31206164	r10f r10m	r10m r10f	Disease	Major Depression
r4f	r4	PTSD (requested)	PTSD	79846	NA	NA	female	requested	PTSD	PTSD (requested) [female]	31594949	PTSD (requested) 31594949	r4f r4m	r4m r4f	Disease	PTSD
r4m	r4	PTSD (requested)	PTSD	87532	NA	NA	male	requested	PTSD	PTSD (requested) [male]	31594949	PTSD (requested) 31594949	r4f r4m	r4m r4f	Disease	PTSD
r5f	r5	Schizophrenia (requested)	Schizophrenia	54663	36903	17760	female	requested	Schizophrenia	Schizophrenia (requested) [female]	35396580	Schizophrenia (requested) 35396580	r5f r5m	r5m r5f	Disease	Schizophrenia
