pair_name	sex	pleio_total	pleio_type_ANTAGONIST	pleio_type_AGONIST	pleio_agonist_dir_POSITIVE	pleio_agonist_dir_NEGATIVE	convincing_CONVINCING	convincing_type_CONVINCING_SAME	convincing_type_CONVINCING_DISTINCT
Height SDS:Hip circumference (adjBMI)	male	5	NA	5	2	3	5	4	1
Height SDS:LDL	male	2	2	NA	NA	NA	2	1	1
Height SDS:Snoring	female	1	1	NA	NA	NA	1	1	NA
Height SDS:TC	male	3	2	1	1	NA	3	2	1
Height SDS:Thyroid-stimulating hormone	male	1	1	NA	NA	NA	1	1	NA
Height SDS:Type 2 diabetes	female	1	NA	1	1	NA	1	1	NA
Height SDS:Waist circumference	female	1	NA	1	1	NA	1	1	NA
Height SDS:Waist circumference (adjBMI)	female	3	NA	3	2	1	3	3	NA
Height SDS:Waist circumference (adjBMI)	male	5	NA	5	2	3	5	4	1
Height SDS:Waist-hip ratio	male	1	1	NA	NA	NA	1	1	NA
Height SDS:Waist-hip ratio (> 50 yrs, adjBMI)	male	1	1	NA	NA	NA	1	1	NA
Height SDS:Waist-hip ratio (adjBMI)	male	1	1	NA	NA	NA	1	1	NA
Height SDS:Weight	female	1	NA	1	1	NA	1	1	NA
Height SDS:Weight	male	3	NA	3	3	NA	3	3	NA
Height SDS:nonHDL	male	2	2	NA	NA	NA	2	2	NA
Height:Height SDS	female	7	NA	7	6	1	7	7	NA
Height:Height SDS	male	8	NA	8	4	4	8	8	NA
Height:Hip circumference	female	8	1	7	4	3	8	7	1
Height:Hip circumference	male	9	NA	9	2	7	9	8	1
Height:Hip circumference (adjBMI)	female	45	NA	45	22	23	45	42	3
Height:Hip circumference (adjBMI)	male	37	NA	37	20	17	37	36	1
Height:Insomnia	female	2	1	1	1	NA	2	2	NA
Height:Insomnia	male	1	1	NA	NA	NA	1	1	NA
Height:LDL	female	13	10	3	2	1	13	8	5
Height:LDL	male	7	6	1	NA	1	7	4	3
Height:Left MST area	male	1	1	NA	NA	NA	1	1	NA
Height:Left PoI GM thikness	female	1	1	NA	NA	NA	1	1	NA
Height:Left Putamen	female	1	1	NA	NA	NA	1	1	NA
Height:Multisite chronic pain	female	1	1	NA	NA	NA	1	1	NA
Height:Multisite chronic pain	male	1	1	NA	NA	NA	1	1	NA
Height:Parkinson's disease	male	1	NA	1	NA	1	1	1	NA
Height:Pubertal growth	female	2	NA	2	1	1	2	2	NA
Height:Risk-taking behaviour	female	1	NA	1	1	NA	1	1	NA
Height:Schizophrenia	female	1	NA	1	NA	1	1	NA	1
Height:Schizophrenia	male	1	NA	1	1	NA	1	1	NA
Height:Snoring	female	4	3	1	NA	1	4	3	1
Height:Snoring	male	1	1	NA	NA	NA	1	1	NA
Height:TC	female	14	10	4	2	2	14	7	7
Height:TC	male	7	6	1	NA	1	7	3	4
Height:Thyroid-stimulating hormone	male	1	1	NA	NA	NA	1	NA	1
Height:Type 2 diabetes	female	5	2	3	1	2	5	3	2
Height:Type 2 diabetes	male	5	2	3	2	1	5	3	2
Height:Waist circumference	female	3	1	2	2	NA	3	3	NA
Height:Waist circumference	male	2	NA	2	1	1	2	2	NA
Height:Waist circumference (adjBMI)	female	25	1	24	11	13	25	22	3
Height:Waist circumference (adjBMI)	male	35	NA	35	14	21	35	34	1
Height:Waist-hip ratio	female	2	2	NA	NA	NA	2	1	1
Height:Waist-hip ratio	male	1	1	NA	NA	NA	1	1	NA
Height:Waist-hip ratio (<= 50 yrs, adjBMI)	female	1	1	NA	NA	NA	1	NA	1
Height:Waist-hip ratio (> 50 yrs, adjBMI)	female	2	1	1	NA	1	2	1	1
Height:Waist-hip ratio (> 50 yrs, adjBMI)	male	2	2	NA	NA	NA	2	2	NA
Height:Waist-hip ratio (adjBMI)	female	4	2	2	NA	2	4	2	2
Height:Waist-hip ratio (adjBMI)	male	2	1	1	NA	1	2	2	NA
Height:Weight	female	5	NA	5	2	3	5	5	NA
Height:Weight	male	13	NA	13	7	6	13	12	1
Height:logTG	female	21	17	4	3	1	21	14	7
Height:logTG	male	10	8	2	2	NA	10	5	5
Height:nonHDL	female	15	12	3	2	1	15	9	6
Height:nonHDL	male	6	6	NA	NA	NA	6	3	3
Hip circumference (adjBMI):Insomnia	female	1	NA	1	1	NA	1	1	NA
Hip circumference (adjBMI):LDL	female	9	8	1	NA	1	9	7	2
Hip circumference (adjBMI):LDL	male	4	3	1	1	NA	4	3	1
Hip circumference (adjBMI):Left Putamen	male	1	1	NA	NA	NA	1	1	NA
Hip circumference (adjBMI):Multisite chronic pain	female	1	NA	1	NA	1	1	1	NA
Hip circumference (adjBMI):Multisite chronic pain	male	1	1	NA	NA	NA	1	1	NA
Hip circumference (adjBMI):Parkinson's disease	male	1	NA	1	NA	1	1	1	NA
Hip circumference (adjBMI):Right Putamen	male	1	1	NA	NA	NA	1	1	NA
Hip circumference (adjBMI):Spelling	female	1	NA	1	1	NA	1	1	NA
Hip circumference (adjBMI):TC	female	10	8	2	1	1	10	7	3
Hip circumference (adjBMI):TC	male	8	7	1	NA	1	8	5	3
Hip circumference (adjBMI):Type 2 diabetes	female	10	9	1	NA	1	10	8	2
Hip circumference (adjBMI):Type 2 diabetes	male	6	5	1	1	NA	6	6	NA
Hip circumference (adjBMI):Waist circumference	female	4	NA	4	3	1	4	4	NA
Hip circumference (adjBMI):Waist circumference	male	2	NA	2	2	NA	2	2	NA
Hip circumference (adjBMI):Waist circumference (adjBMI)	female	22	6	16	8	8	22	20	2
Hip circumference (adjBMI):Waist circumference (adjBMI)	male	24	NA	24	12	12	24	24	NA
Hip circumference (adjBMI):Waist-hip ratio	female	17	17	NA	NA	NA	17	17	NA
Hip circumference (adjBMI):Waist-hip ratio	male	5	5	NA	NA	NA	5	5	NA
Hip circumference (adjBMI):Waist-hip ratio (<= 50 yrs, adjBMI)	female	12	12	NA	NA	NA	12	12	NA
Hip circumference (adjBMI):Waist-hip ratio (> 50 yrs, adjBMI)	female	16	16	NA	NA	NA	16	16	NA
Hip circumference (adjBMI):Waist-hip ratio (> 50 yrs, adjBMI)	male	2	2	NA	NA	NA	2	2	NA
Hip circumference (adjBMI):Waist-hip ratio (adjBMI)	female	23	23	NA	NA	NA	23	22	1
Hip circumference (adjBMI):Waist-hip ratio (adjBMI)	male	6	6	NA	NA	NA	6	6	NA
Hip circumference (adjBMI):Weight	female	4	NA	4	3	1	4	4	NA
Hip circumference (adjBMI):Weight	male	14	NA	14	9	5	14	13	1
Hip circumference (adjBMI):logTG	female	18	18	NA	NA	NA	18	14	4
Hip circumference (adjBMI):logTG	male	15	15	NA	NA	NA	15	10	5
Hip circumference (adjBMI):nonHDL	female	11	11	NA	NA	NA	11	9	2
Hip circumference (adjBMI):nonHDL	male	6	6	NA	NA	NA	6	4	2
Hip circumference:Hip circumference (adjBMI)	female	17	NA	17	11	6	17	17	NA
Hip circumference:Hip circumference (adjBMI)	male	13	NA	13	4	9	13	13	NA
Hip circumference:LDL	female	7	5	2	1	1	7	5	2
Hip circumference:LDL	male	6	6	NA	NA	NA	6	4	2
Hip circumference:Multisite chronic pain	female	1	NA	1	1	NA	1	1	NA
Hip circumference:Number of children ever born	female	1	NA	1	1	NA	1	1	NA
Hip circumference:Parkinson's disease	male	1	1	NA	NA	NA	1	1	NA
Hip circumference:Pubertal growth	female	2	2	NA	NA	NA	2	2	NA
Hip circumference:Risk-taking behaviour	female	1	NA	1	NA	1	1	NA	1
Hip circumference:Schizophrenia	female	2	1	1	1	NA	2	2	NA
Hip circumference:Snoring	female	1	NA	1	NA	1	1	1	NA
Hip circumference:Snoring	male	2	NA	2	1	1	2	2	NA
Hip circumference:TC	female	8	6	2	NA	2	8	6	2
Hip circumference:TC	male	6	5	1	NA	1	6	3	3
Hip circumference:Type 2 diabetes	female	11	3	8	6	2	11	11	NA
Hip circumference:Type 2 diabetes	male	14	5	9	8	1	14	14	NA
Hip circumference:Waist circumference	female	13	NA	13	10	3	13	13	NA
Hip circumference:Waist circumference	male	11	NA	11	8	3	11	11	NA
Hip circumference:Waist circumference (adjBMI)	female	4	2	2	2	NA	4	3	1
Hip circumference:Waist circumference (adjBMI)	male	9	NA	9	3	6	9	8	1
Hip circumference:Waist-hip ratio	female	10	7	3	1	2	10	10	NA
Hip circumference:Waist-hip ratio	male	9	1	8	5	3	9	8	1
Hip circumference:Waist-hip ratio (<= 50 yrs, adjBMI)	female	3	3	NA	NA	NA	3	3	NA
Hip circumference:Waist-hip ratio (> 50 yrs, adjBMI)	female	7	7	NA	NA	NA	7	7	NA
Hip circumference:Waist-hip ratio (> 50 yrs, adjBMI)	male	1	1	NA	NA	NA	1	1	NA
Hip circumference:Waist-hip ratio (adjBMI)	female	11	11	NA	NA	NA	11	11	NA
Hip circumference:Waist-hip ratio (adjBMI)	male	4	4	NA	NA	NA	4	4	NA
Hip circumference:Weight	female	14	NA	14	12	2	14	14	NA
Hip circumference:Weight	male	15	NA	15	9	6	15	15	NA
Hip circumference:logTG	female	17	8	9	6	3	17	15	2
Hip circumference:logTG	male	18	10	8	6	2	18	16	2
Hip circumference:nonHDL	female	9	7	2	NA	2	9	5	4
Hip circumference:nonHDL	male	6	6	NA	NA	NA	6	4	2
Insomnia:Multisite chronic pain	female	1	NA	1	NA	1	1	1	NA
Insomnia:Multisite chronic pain	male	1	NA	1	NA	1	1	1	NA
Insomnia:Schizophrenia	female	3	1	2	1	1	3	2	1
Insomnia:Schizophrenia	male	1	NA	1	1	NA	1	1	NA
Insomnia:TC	female	1	NA	1	1	NA	1	1	NA
Insomnia:TC	male	1	NA	1	NA	1	1	1	NA
Insomnia:Type 2 diabetes	male	1	NA	1	NA	1	1	1	NA
Insomnia:Waist circumference (adjBMI)	male	1	1	NA	NA	NA	1	1	NA
Insomnia:Waist-hip ratio (<= 50 yrs, adjBMI)	female	1	1	NA	NA	NA	1	NA	1
Insomnia:Weight	female	1	1	NA	NA	NA	1	1	NA
Insomnia:logTG	female	2	NA	2	NA	2	2	1	1
LDL:Left 5m area	female	1	NA	1	1	NA	1	NA	1
LDL:Left 5m area	male	1	1	NA	NA	NA	1	1	NA
LDL:Left Caudate	female	3	2	1	NA	1	3	2	1
LDL:Left Caudate	male	2	NA	2	1	1	2	2	NA
LDL:Left Putamen	female	2	2	NA	NA	NA	2	2	NA
LDL:Left Putamen	male	2	NA	2	2	NA	2	1	1
LDL:Multisite chronic pain	female	1	1	NA	NA	NA	1	1	NA
LDL:Multisite chronic pain	male	4	3	1	NA	1	4	4	NA
LDL:Nonword reading	male	1	1	NA	NA	NA	1	1	NA
LDL:Parkinson's disease	female	5	4	1	NA	1	5	1	4
LDL:Parkinson's disease	male	2	2	NA	NA	NA	2	NA	2
LDL:Right Putamen	female	3	2	1	1	NA	3	2	1
LDL:Right Putamen	male	3	1	2	2	NA	3	2	1
LDL:Risk-taking behaviour	female	2	NA	2	1	1	2	2	NA
LDL:Schizophrenia	female	6	6	NA	NA	NA	6	2	4
LDL:Schizophrenia	male	11	6	5	3	2	11	6	5
LDL:Snoring	female	4	2	2	1	1	4	1	3
LDL:Snoring	male	1	NA	1	NA	1	1	NA	1
LDL:Spelling	female	1	NA	1	NA	1	1	1	NA
LDL:TC	female	210	17	193	101	92	210	202	8
LDL:TC	male	191	16	175	89	86	191	184	7
LDL:Thyroid-stimulating hormone	female	3	1	2	1	1	3	2	1
LDL:Thyroid-stimulating hormone	male	5	2	3	2	1	5	NA	5
LDL:Type 2 diabetes	female	32	11	21	8	13	32	18	14
LDL:Type 2 diabetes	male	25	16	9	2	7	25	11	14
LDL:Waist circumference	female	5	1	4	2	2	5	4	1
LDL:Waist circumference	male	2	1	1	NA	1	2	1	1
LDL:Waist circumference (adjBMI)	female	12	2	10	5	5	12	9	3
LDL:Waist circumference (adjBMI)	male	1	NA	1	NA	1	1	1	NA
LDL:Waist-hip ratio	female	13	1	12	9	3	13	11	2
LDL:Waist-hip ratio	male	2	1	1	1	NA	2	NA	2
LDL:Waist-hip ratio (<= 50 yrs, adjBMI)	female	6	1	5	3	2	6	6	NA
LDL:Waist-hip ratio (> 50 yrs, adjBMI)	female	13	1	12	5	7	13	13	NA
LDL:Waist-hip ratio (> 50 yrs, adjBMI)	male	1	NA	1	1	NA	1	NA	1
LDL:Waist-hip ratio (adjBMI)	female	15	1	14	9	5	15	13	2
LDL:Waist-hip ratio (adjBMI)	male	1	NA	1	NA	1	1	NA	1
LDL:Weight	male	6	6	NA	NA	NA	6	5	1
LDL:logTG	female	145	28	117	60	57	145	110	35
LDL:logTG	male	125	38	87	46	41	125	84	41
LDL:nonHDL	female	209	3	206	110	96	209	207	2
LDL:nonHDL	male	180	4	176	86	90	180	174	6
Left 5m area:Snoring	female	1	1	NA	NA	NA	1	1	NA
Left 5m area:Snoring	male	1	1	NA	NA	NA	1	1	NA
Left 5m area:TC	female	2	1	1	1	NA	2	1	1
Left 5m area:TC	male	1	1	NA	NA	NA	1	1	NA
Left 5m area:logTG	female	1	NA	1	NA	1	1	1	NA
Left 5m area:nonHDL	female	1	NA	1	1	NA	1	NA	1
Left Caudate:Left Putamen	female	3	1	2	NA	2	3	3	NA
Left Caudate:Left Putamen	male	5	2	3	1	2	5	5	NA
Left Caudate:Multisite chronic pain	male	1	1	NA	NA	NA	1	NA	1
Left Caudate:Right Putamen	female	3	1	2	NA	2	3	3	NA
Left Caudate:Right Putamen	male	6	2	4	1	3	6	6	NA
Left Caudate:TC	female	3	2	1	NA	1	3	2	1
Left Caudate:TC	male	1	NA	1	NA	1	1	1	NA
Left Caudate:Waist circumference (adjBMI)	female	1	1	NA	NA	NA	1	1	NA
Left Caudate:Waist-hip ratio	female	2	2	NA	NA	NA	2	2	NA
Left Caudate:Waist-hip ratio (> 50 yrs, adjBMI)	female	1	1	NA	NA	NA	1	1	NA
Left Caudate:Waist-hip ratio (adjBMI)	female	1	1	NA	NA	NA	1	1	NA
Left Caudate:logTG	female	2	2	NA	NA	NA	2	NA	2
Left Caudate:logTG	male	3	2	1	NA	1	3	1	2
Left Caudate:nonHDL	female	3	2	1	NA	1	3	2	1
Left Caudate:nonHDL	male	2	NA	2	1	1	2	2	NA
Left MST area:Schizophrenia	male	1	1	NA	NA	NA	1	NA	1
Left PoI GM thikness:Snoring	female	2	NA	2	2	NA	2	2	NA
Left PoI GM thikness:TC	male	1	1	NA	NA	NA	1	1	NA
Left PoI GM thikness:Waist circumference (adjBMI)	female	1	1	NA	NA	NA	1	1	NA
Left PoI GM thikness:Waist-hip ratio (adjBMI)	female	1	1	NA	NA	NA	1	1	NA
Left PoI GM thikness:logTG	male	1	1	NA	NA	NA	1	1	NA
Left Putamen:Multisite chronic pain	female	2	NA	2	2	NA	2	2	NA
Left Putamen:Multisite chronic pain	male	1	NA	1	1	NA	1	NA	1
Left Putamen:PTSD	male	1	1	NA	NA	NA	1	1	NA
Left Putamen:Parkinson's disease	female	1	1	NA	NA	NA	1	NA	1
Left Putamen:Parkinson's disease	male	1	1	NA	NA	NA	1	NA	1
Left Putamen:Right Putamen	female	8	NA	8	4	4	8	8	NA
Left Putamen:Right Putamen	male	3	NA	3	NA	3	3	3	NA
Left Putamen:Schizophrenia	female	1	NA	1	1	NA	1	1	NA
Left Putamen:Schizophrenia	male	3	1	2	2	NA	3	2	1
Left Putamen:Snoring	female	1	NA	1	NA	1	1	NA	1
Left Putamen:Spelling	female	1	1	NA	NA	NA	1	1	NA
Left Putamen:TC	female	2	2	NA	NA	NA	2	2	NA
Left Putamen:TC	male	2	NA	2	2	NA	2	1	1
Left Putamen:Type 2 diabetes	female	2	2	NA	NA	NA	2	1	1
Left Putamen:Type 2 diabetes	male	1	1	NA	NA	NA	1	1	NA
Left Putamen:Waist circumference (adjBMI)	female	1	NA	1	1	NA	1	1	NA
Left Putamen:Waist-hip ratio	female	1	NA	1	1	NA	1	1	NA
Left Putamen:logTG	female	3	2	1	1	NA	3	2	1
Left Putamen:logTG	male	2	2	NA	NA	NA	2	1	1
Left Putamen:nonHDL	female	1	NA	1	1	NA	1	NA	1
Left Putamen:nonHDL	male	2	NA	2	2	NA	2	1	1
Major Depression:Schizophrenia	female	1	NA	1	NA	1	1	1	NA
Multisite chronic pain:PTSD	female	1	NA	1	NA	1	1	1	NA
Multisite chronic pain:Right Putamen	female	2	NA	2	2	NA	2	2	NA
Multisite chronic pain:Right Putamen	male	1	NA	1	1	NA	1	NA	1
Multisite chronic pain:Risk-taking behaviour	female	1	1	NA	NA	NA	1	1	NA
Multisite chronic pain:Schizophrenia	female	1	NA	1	1	NA	1	1	NA
Multisite chronic pain:Schizophrenia	male	4	1	3	2	1	4	3	1
Multisite chronic pain:Snoring	female	1	NA	1	NA	1	1	1	NA
Multisite chronic pain:Spelling	female	1	1	NA	NA	NA	1	1	NA
Multisite chronic pain:TC	female	3	2	1	NA	1	3	3	NA
Multisite chronic pain:TC	male	5	2	3	2	1	5	4	1
Multisite chronic pain:Thyroid-stimulating hormone	female	1	1	NA	NA	NA	1	1	NA
Multisite chronic pain:Type 2 diabetes	male	3	1	2	2	NA	3	1	2
Multisite chronic pain:Waist circumference (adjBMI)	male	1	1	NA	NA	NA	1	1	NA
Multisite chronic pain:Waist-hip ratio (<= 50 yrs, adjBMI)	male	1	1	NA	NA	NA	1	1	NA
Multisite chronic pain:Weight	male	1	1	NA	NA	NA	1	1	NA
Multisite chronic pain:nonHDL	female	1	NA	1	NA	1	1	NA	1
Multisite chronic pain:nonHDL	male	1	NA	1	NA	1	1	1	NA
Nonword reading:TC	female	1	NA	1	1	NA	1	1	NA
Nonword reading:TC	male	1	1	NA	NA	NA	1	1	NA
Number of children ever born:Risk-taking behaviour	male	1	NA	1	NA	1	1	1	NA
PTSD:Right Putamen	male	1	1	NA	NA	NA	1	1	NA
Parkinson's disease:Right Putamen	female	1	1	NA	NA	NA	1	NA	1
Parkinson's disease:Right Putamen	male	1	1	NA	NA	NA	1	NA	1
Parkinson's disease:Schizophrenia	male	2	NA	2	NA	2	2	NA	2
Parkinson's disease:Snoring	female	2	2	NA	NA	NA	2	NA	2
Parkinson's disease:Snoring	male	1	1	NA	NA	NA	1	NA	1
Parkinson's disease:TC	female	3	3	NA	NA	NA	3	NA	3
Parkinson's disease:TC	male	3	3	NA	NA	NA	3	1	2
Parkinson's disease:Thyroid-stimulating hormone	female	1	1	NA	NA	NA	1	1	NA
Parkinson's disease:Thyroid-stimulating hormone	male	1	1	NA	NA	NA	1	NA	1
Parkinson's disease:Type 2 diabetes	female	2	1	1	1	NA	2	2	NA
Parkinson's disease:Waist circumference (adjBMI)	female	1	1	NA	NA	NA	1	1	NA
Parkinson's disease:Waist circumference (adjBMI)	male	1	NA	1	NA	1	1	1	NA
Parkinson's disease:Weight	male	1	NA	1	NA	1	1	1	NA
Pubertal growth:Waist circumference	female	2	2	NA	NA	NA	2	2	NA
Pubertal growth:Waist circumference (adjBMI)	male	2	NA	2	2	NA	2	2	NA
Pubertal growth:Weight	female	1	1	NA	NA	NA	1	1	NA
Right Putamen:Schizophrenia	female	1	NA	1	1	NA	1	1	NA
Right Putamen:Schizophrenia	male	3	1	2	2	NA	3	2	1
Right Putamen:Snoring	female	1	NA	1	1	NA	1	NA	1
Right Putamen:Spelling	female	1	1	NA	NA	NA	1	1	NA
Right Putamen:TC	female	1	1	NA	NA	NA	1	1	NA
Right Putamen:TC	male	2	NA	2	2	NA	2	NA	2
Right Putamen:Thyroid-stimulating hormone	male	1	NA	1	1	NA	1	1	NA
Right Putamen:Type 2 diabetes	female	1	1	NA	NA	NA	1	1	NA
Right Putamen:Type 2 diabetes	male	1	1	NA	NA	NA	1	1	NA
Right Putamen:Waist circumference (adjBMI)	female	1	NA	1	1	NA	1	1	NA
Right Putamen:Waist-hip ratio	female	1	NA	1	1	NA	1	1	NA
Risk-taking behaviour:Schizophrenia	female	2	NA	2	NA	2	2	1	1
Risk-taking behaviour:Schizophrenia	male	1	NA	1	1	NA	1	1	NA
Risk-taking behaviour:TC	female	1	NA	1	1	NA	1	1	NA
Risk-taking behaviour:Waist circumference	female	2	NA	2	2	NA	2	1	1
Risk-taking behaviour:Waist circumference	male	1	NA	1	NA	1	1	1	NA
Risk-taking behaviour:Waist-hip ratio	female	1	NA	1	1	NA	1	1	NA
Risk-taking behaviour:Weight	female	1	NA	1	NA	1	1	NA	1
Schizophrenia:Snoring	female	1	1	NA	NA	NA	1	1	NA
Schizophrenia:Snoring	male	1	1	NA	NA	NA	1	NA	1
Schizophrenia:Spelling	female	1	1	NA	NA	NA	1	1	NA
Schizophrenia:TC	female	7	7	NA	NA	NA	7	3	4
Schizophrenia:TC	male	10	4	6	5	1	10	6	4
Schizophrenia:Thyroid-stimulating hormone	male	1	1	NA	NA	NA	1	1	NA
Schizophrenia:Type 2 diabetes	female	2	2	NA	NA	NA	2	2	NA
Schizophrenia:Type 2 diabetes	male	8	4	4	3	1	8	5	3
Schizophrenia:Waist circumference	female	1	1	NA	NA	NA	1	1	NA
Schizophrenia:Waist circumference (adjBMI)	female	2	1	1	1	NA	2	1	1
Schizophrenia:Waist circumference (adjBMI)	male	2	2	NA	NA	NA	2	2	NA
Schizophrenia:Waist-hip ratio	female	2	2	NA	NA	NA	2	2	NA
Schizophrenia:Waist-hip ratio (<= 50 yrs, adjBMI)	female	1	1	NA	NA	NA	1	1	NA
Schizophrenia:Waist-hip ratio (<= 50 yrs, adjBMI)	male	1	NA	1	1	NA	1	1	NA
Schizophrenia:Waist-hip ratio (> 50 yrs, adjBMI)	female	2	1	1	NA	1	2	1	1
Schizophrenia:Waist-hip ratio (adjBMI)	female	2	1	1	1	NA	2	2	NA
Schizophrenia:Weight	female	3	2	1	1	NA	3	3	NA
Snoring:TC	female	4	2	2	1	1	4	3	1
Snoring:TC	male	1	NA	1	NA	1	1	1	NA
Snoring:Type 2 diabetes	female	4	1	3	2	1	4	3	1
Snoring:Type 2 diabetes	male	1	NA	1	1	NA	1	1	NA
Snoring:Waist circumference	female	1	NA	1	NA	1	1	1	NA
Snoring:Waist circumference (adjBMI)	female	1	1	NA	NA	NA	1	1	NA
Snoring:Waist-hip ratio	female	1	NA	1	1	NA	1	1	NA
Snoring:Waist-hip ratio	male	2	1	1	1	NA	2	2	NA
Snoring:Waist-hip ratio (> 50 yrs, adjBMI)	female	1	1	NA	NA	NA	1	1	NA
Snoring:Waist-hip ratio (adjBMI)	female	1	1	NA	NA	NA	1	1	NA
Snoring:Weight	female	2	NA	2	1	1	2	2	NA
Snoring:Weight	male	2	NA	2	1	1	2	2	NA
Spelling:TC	female	1	NA	1	NA	1	1	1	NA
TC:Thyroid-stimulating hormone	female	6	3	3	3	NA	6	5	1
TC:Thyroid-stimulating hormone	male	6	2	4	1	3	6	1	5
TC:Type 2 diabetes	female	30	9	21	10	11	30	15	15
TC:Type 2 diabetes	male	34	20	14	8	6	34	15	19
TC:Waist circumference	female	6	2	4	1	3	6	3	3
TC:Waist circumference	male	6	4	2	NA	2	6	4	2
TC:Waist circumference (adjBMI)	female	8	NA	8	4	4	8	7	1
TC:Waist circumference (adjBMI)	male	1	1	NA	NA	NA	1	1	NA
TC:Waist-hip ratio	female	9	1	8	5	3	9	7	2
TC:Waist-hip ratio	male	3	2	1	1	NA	3	1	2
TC:Waist-hip ratio (<= 50 yrs, adjBMI)	female	6	1	5	3	2	6	6	NA
TC:Waist-hip ratio (> 50 yrs, adjBMI)	female	8	1	7	3	4	8	7	1
TC:Waist-hip ratio (> 50 yrs, adjBMI)	male	1	NA	1	1	NA	1	NA	1
TC:Waist-hip ratio (adjBMI)	female	13	NA	13	7	6	13	11	2
TC:Waist-hip ratio (adjBMI)	male	2	1	1	NA	1	2	1	1
TC:Weight	female	1	NA	1	NA	1	1	1	NA
TC:Weight	male	8	6	2	1	1	8	5	3
Thyroid-stimulating hormone:Type 2 diabetes	female	2	1	1	1	NA	2	1	1
Thyroid-stimulating hormone:Type 2 diabetes	male	7	4	3	3	NA	7	4	3
Type 2 diabetes:Waist circumference	female	11	NA	11	6	5	11	10	1
Type 2 diabetes:Waist circumference	male	11	4	7	5	2	11	11	NA
Type 2 diabetes:Waist circumference (adjBMI)	female	9	1	8	2	6	9	7	2
Type 2 diabetes:Waist circumference (adjBMI)	male	7	5	2	1	1	7	6	1
Type 2 diabetes:Waist-hip ratio	female	13	2	11	6	5	13	10	3
Type 2 diabetes:Waist-hip ratio	male	10	5	5	5	NA	10	9	1
Type 2 diabetes:Waist-hip ratio (<= 50 yrs, adjBMI)	female	6	NA	6	2	4	6	6	NA
Type 2 diabetes:Waist-hip ratio (<= 50 yrs, adjBMI)	male	1	1	NA	NA	NA	1	NA	1
Type 2 diabetes:Waist-hip ratio (> 50 yrs, adjBMI)	female	11	NA	11	3	8	11	11	NA
Type 2 diabetes:Waist-hip ratio (> 50 yrs, adjBMI)	male	3	3	NA	NA	NA	3	2	1
Type 2 diabetes:Waist-hip ratio (adjBMI)	female	12	NA	12	6	6	12	11	1
Type 2 diabetes:Waist-hip ratio (adjBMI)	male	3	3	NA	NA	NA	3	2	1
Type 2 diabetes:Weight	female	9	1	8	5	3	9	9	NA
Type 2 diabetes:Weight	male	10	1	9	8	1	10	9	1
Waist circumference (adjBMI):Waist-hip ratio	female	17	NA	17	10	7	17	16	1
Waist circumference (adjBMI):Waist-hip ratio	male	4	NA	4	2	2	4	4	NA
Waist circumference (adjBMI):Waist-hip ratio (<= 50 yrs, adjBMI)	female	14	NA	14	7	7	14	12	2
Waist circumference (adjBMI):Waist-hip ratio (<= 50 yrs, adjBMI)	male	6	NA	6	5	1	6	6	NA
Waist circumference (adjBMI):Waist-hip ratio (> 50 yrs, adjBMI)	female	18	NA	18	9	9	18	17	1
Waist circumference (adjBMI):Waist-hip ratio (> 50 yrs, adjBMI)	male	3	NA	3	2	1	3	2	1
Waist circumference (adjBMI):Waist-hip ratio (adjBMI)	female	22	2	20	11	9	22	21	1
Waist circumference (adjBMI):Waist-hip ratio (adjBMI)	male	7	NA	7	4	3	7	7	NA
Waist circumference (adjBMI):Weight	female	1	NA	1	1	NA	1	1	NA
Waist circumference (adjBMI):Weight	male	6	NA	6	3	3	6	5	1
Waist circumference:Waist circumference (adjBMI)	female	2	NA	2	2	NA	2	2	NA
Waist circumference:Waist circumference (adjBMI)	male	2	NA	2	1	1	2	2	NA
Waist circumference:Waist-hip ratio	female	2	NA	2	1	1	2	2	NA
Waist circumference:Waist-hip ratio	male	5	NA	5	3	2	5	5	NA
Waist circumference:Waist-hip ratio (<= 50 yrs, adjBMI)	female	1	NA	1	1	NA	1	1	NA
Waist circumference:Weight	female	12	NA	12	8	4	12	12	NA
Waist circumference:Weight	male	11	NA	11	8	3	11	11	NA
Waist-hip ratio (<= 50 yrs, adjBMI):Waist-hip ratio (> 50 yrs, adjBMI)	female	16	NA	16	8	8	16	14	2
Waist-hip ratio (<= 50 yrs, adjBMI):Waist-hip ratio (> 50 yrs, adjBMI)	male	1	NA	1	1	NA	1	NA	1
Waist-hip ratio (<= 50 yrs, adjBMI):Waist-hip ratio (adjBMI)	female	21	NA	21	12	9	21	21	NA
Waist-hip ratio (<= 50 yrs, adjBMI):Waist-hip ratio (adjBMI)	male	3	NA	3	2	1	3	3	NA
Waist-hip ratio (> 50 yrs, adjBMI):Waist-hip ratio (adjBMI)	female	22	NA	22	11	11	22	22	NA
Waist-hip ratio (> 50 yrs, adjBMI):Waist-hip ratio (adjBMI)	male	4	NA	4	4	NA	4	4	NA
Waist-hip ratio (> 50 yrs, adjBMI):Weight	male	1	1	NA	NA	NA	1	1	NA
Waist-hip ratio (adjBMI):Weight	male	1	1	NA	NA	NA	1	1	NA
Waist-hip ratio:Waist-hip ratio (<= 50 yrs, adjBMI)	female	16	NA	16	8	8	16	16	NA
